p_x,p_y,p_z,v_mag,phi,w_y,p_f
0.0,-1.2,1.8,18.0,0.0,1.0,"[10.789070624055144, -1.2, -0.0147601458027187]"
0.0,-1.2,1.8,18.0,0.0,14.631578947368421,"[10.788851914325868, -1.2, -0.016809036088182558]"
0.0,-1.2,1.8,18.0,0.0,28.263157894736842,"[10.788751623524973, -1.2, -0.017747011299683535]"
0.0,-1.2,1.8,18.0,0.0,41.89473684210526,"[10.788677696755636, -1.2, -0.01843779116348461]"
0.0,-1.2,1.8,18.0,0.0,55.526315789473685,"[10.788617125605098, -1.2, -0.019003380712255977]"
0.0,-1.2,1.8,18.0,0.0,69.15789473684211,"[10.788564923669293, -1.2, -0.01949053770096007]"
0.0,-1.2,1.8,18.0,0.0,82.78947368421052,"[10.78851856782098, -1.2, -0.019922917899733827]"
0.0,-1.2,1.8,18.0,0.0,96.42105263157895,"[10.788476578230819, -1.2, -0.02031439370770495]"
0.0,-1.2,1.8,18.0,0.0,110.05263157894737,"[10.788438001875193, -1.2, -0.02067389802285982]"
0.0,-1.2,1.8,18.0,0.0,123.6842105263158,"[10.788402183745415, -1.2, -0.021007569729508874]"
0.0,-1.2,1.8,18.0,0.0,137.31578947368422,"[10.788368651506092, -1.2, -0.021319835224431316]"
0.0,-1.2,1.8,18.0,0.0,150.94736842105263,"[10.78833705171491, -1.2, -0.021614006420687684]"
0.0,-1.2,1.8,18.0,0.0,164.57894736842104,"[10.78830711200549, -1.2, -0.021892635295938753]"
0.0,-1.2,1.8,18.0,0.0,178.21052631578948,"[10.788278617403908, -1.2, -0.02215773591918875]"
0.0,-1.2,1.8,18.0,0.0,191.8421052631579,"[10.78825139482739, -1.2, -0.02241092976200379]"
0.0,-1.2,1.8,18.0,0.0,205.47368421052633,"[10.788225302562484, -1.2, -0.022653544325969693]"
0.0,-1.2,1.8,18.0,0.0,219.10526315789474,"[10.788200222901636, -1.2, -0.02288668216127321]"
0.0,-1.2,1.8,18.0,0.0,232.73684210526315,"[10.788176056854054, -1.2, -0.023111270439054032]"
0.0,-1.2,1.8,18.0,0.0,246.3684210526316,"[10.78815272026042, -1.2, -0.02332809736513708]"
0.0,-1.2,1.8,18.0,0.0,260.0,"[10.788130140882318, -1.2, -0.023537839456718848]"
